native_power,power,wind_dir,wind_speed,air_temp,SAP,air_density
15.079,0.9424375,1,1,1,1,1
15.124,0.94525,1,1,1,1,1
15.068,0.94175,1,1,1,1,1
15.29,0.955625,1,1,1,1,1
15.507,0.9691875,1,1,1,1,1
15.523,0.9701875,1,1,1,1,1
15.404,0.96275,1,1,1,1,1
15.557,0.9723125,1,1,1,1,1
15.829,0.9893125,1,1,1,1,1
15.683,0.9801875,1,1,1,1,1
14.775,0.9234375,1,1,1,1,1
14.105,0.8815625,1,1,1,1,1
13.78,0.86125,1,1,1,1,1
13.767,0.8604375,1,1,1,1,1
12.961,0.8100625,1,1,1,1,1
13.159,0.8224375,1,1,1,1,1
13.077,0.8173125,1,1,1,1,1
12.875,0.8046875,1,1,1,1,1
13.291,0.8306875,1,1,1,1,1
13.304,0.8315,1,1,1,1,1
11.361,0.7100625,1,1,1,1,1
9.647,0.6029375,1,1,1,1,1
10.15,0.634375,1,1,1,1,1
12.797,0.7998125,1,1,1,1,1
15.21,0.950625,1,1,1,1,1
15.515,0.9696875,1,1,1,1,1
15.472,0.967,1,1,1,1,1
15.676,0.97975,1,1,1,1,1
15.481,0.9675625,1,1,1,1,1
15.119,0.9449375,1,1,1,1,1
15.085,0.9428125,1,1,1,1,1
15.321,0.9575625,1,1,1,1,1
15.744,0.984,1,1,1,1,1
15.779,0.9861875,1,1,1,1,1
15.533,0.9708125,1,1,1,1,1
15.134,0.945875,1,1,1,1,1
15.518,0.969875,1,1,1,1,1
15.75,0.984375,1,1,1,1,1
15.447,0.9654375,1,1,1,1,1
15.174,0.948375,1,1,1,1,1
15.67,0.979375,1,1,1,1,1
15.274,0.954625,1,1,1,1,1
15.129,0.9455625,1,1,1,1,1
15.604,0.97525,1,1,1,1,1
15.821,0.9888125,1,1,1,1,1
15.916,0.99475,1,1,1,1,1
15.831,0.9894375,1,1,1,1,1
15.839,0.9899375,1,1,1,1,1
15.758,0.984875,1,1,1,1,1
15.56,0.9725,1,1,1,1,1
15.016,0.9385,1,1,1,1,1
14.727,0.9204375,1,1,1,1,1
15.028,0.93925,1,1,1,1,1
15.682,0.980125,1,1,1,1,1
15.715,0.9821875,1,1,1,1,1
15.671,0.9794375,1,1,1,1,1
15.619,0.9761875,1,1,1,1,1
15.543,0.9714375,1,1,1,1,1
15.971,0.9981875,1,1,1,1,1
15.968,0.998,1,1,1,1,1
15.421,0.9638125,1,1,1,1,1
14.248,0.8905,1,1,1,1,1
13.366,0.835375,1,1,1,1,1
13.571,0.8481875,1,1,1,1,1
14.662,0.916375,1,1,1,1,1
15.194,0.949625,1,1,1,1,1
15.383,0.9614375,1,1,1,1,1
14.139,0.8836875,1,1,1,1,1
13.366,0.835375,1,1,1,1,1
13.932,0.87075,1,1,1,1,1
13.997,0.8748125,1,1,1,1,1
14.498,0.906125,1,1,1,1,1
14.675,0.9171875,1,1,1,1,1
14.939,0.9336875,1,1,1,1,1
14.739,0.9211875,1,1,1,1,1
14.411,0.9006875,1,1,1,1,1
13.937,0.8710625,1,1,1,1,1
13.418,0.838625,1,1,1,1,1
13.624,0.8515,1,1,1,1,1
13.184,0.824,1,1,1,1,1
12.243,0.7651875,1,1,1,1,1
10.789,0.6743125,1,1,1,1,1
10.061,0.6288125,1,1,1,1,1
10.853,0.6783125,1,1,1,1,1
11.92,0.745,1,1,1,1,1
10.497,0.6560625,1,1,1,1,1
8.912,0.557,1,1,1,1,1
7.926,0.495375,1,1,1,1,1
6.754,0.422125,1,1,1,1,1
5.965,0.3728125,1,1,1,1,1
5.302,0.331375,1,1,1,1,1
4.661,0.2913125,1,1,1,1,1
4.598,0.287375,1,1,1,1,1
6.002,0.375125,1,1,1,1,1
10.702,0.668875,1,1,1,1,1
14.764,0.92275,1,1,1,1,1
14.846,0.927875,1,1,1,1,1
14.144,0.884,1,1,1,1,1
13.5,0.84375,1,1,1,1,1
13.096,0.8185,1,1,1,1,1
12.938,0.808625,1,1,1,1,1
12.7,0.79375,1,1,1,1,1
12.591,0.7869375,1,1,1,1,1
12.893,0.8058125,1,1,1,1,1
13.301,0.8313125,1,1,1,1,1
13.425,0.8390625,1,1,1,1,1
13.53,0.845625,1,1,1,1,1
13.82,0.86375,1,1,1,1,1
14.332,0.89575,1,1,1,1,1
14.653,0.9158125,1,1,1,1,1
14.599,0.9124375,1,1,1,1,1
14.453,0.9033125,1,1,1,1,1
14.516,0.90725,1,1,1,1,1
14.77,0.923125,1,1,1,1,1
14.885,0.9303125,1,1,1,1,1
14.836,0.92725,1,1,1,1,1
14.782,0.923875,1,1,1,1,1
14.685,0.9178125,1,1,1,1,1
13.849,0.8655625,1,1,1,1,1
13.098,0.818625,1,1,1,1,1
12.962,0.810125,1,1,1,1,1
12.775,0.7984375,1,1,1,1,1
11.499,0.7186875,1,1,1,1,1
10.303,0.6439375,1,1,1,1,1
10.637,0.6648125,1,1,1,1,1
11.874,0.742125,1,1,1,1,1
11.576,0.7235,1,1,1,1,1
11.111,0.6944375,1,1,1,1,1
9.512,0.5945,1,1,1,1,1
8,0.5,1,1,1,1,1
7.183,0.4489375,1,1,1,1,1
7.887,0.4929375,1,1,1,1,1
9.895,0.6184375,1,1,1,1,1
11.104,0.694,1,1,1,1,1
11.207,0.7004375,1,1,1,1,1
9.567,0.5979375,1,1,1,1,1
7.956,0.49725,1,1,1,1,1
6.204,0.38775,1,1,1,1,1
5.107,0.3191875,1,1,1,1,1
4.662,0.291375,1,1,1,1,1
5.172,0.32325,1,1,1,1,1
7.736,0.4835,1,1,1,1,1
10.571,0.6606875,1,1,1,1,1
11.44,0.715,1,1,1,1,1
10.298,0.643625,1,1,1,1,1
10.081,0.6300625,1,1,1,1,1
10.552,0.6595,1,1,1,1,1
11.003,0.6876875,1,1,1,1,1
11.498,0.718625,1,1,1,1,1
11.93,0.745625,1,1,1,1,1
11.921,0.7450625,1,1,1,1,1
12.133,0.7583125,1,1,1,1,1
12.521,0.7825625,1,1,1,1,1
12.705,0.7940625,1,1,1,1,1
12.645,0.7903125,1,1,1,1,1
12.278,0.767375,1,1,1,1,1
11.681,0.7300625,1,1,1,1,1
11.145,0.6965625,1,1,1,1,1
10.856,0.6785,1,1,1,1,1
10.628,0.66425,1,1,1,1,1
10.331,0.6456875,1,1,1,1,1
10.104,0.6315,1,1,1,1,1
9.832,0.6145,1,1,1,1,1
9.665,0.6040625,1,1,1,1,1
10.116,0.63225,1,1,1,1,1
10.999,0.6874375,1,1,1,1,1
11.899,0.7436875,1,1,1,1,1
12.672,0.792,1,1,1,1,1
13.242,0.827625,1,1,1,1,1
13.521,0.8450625,1,1,1,1,1
13.097,0.8185625,1,1,1,1,1
12.095,0.7559375,1,1,1,1,1
11.074,0.692125,1,1,1,1,1
10.793,0.6745625,1,1,1,1,1
11.351,0.7094375,1,1,1,1,1
12.623,0.7889375,1,1,1,1,1
13.633,0.8520625,1,1,1,1,1
14.278,0.892375,1,1,1,1,1
14.33,0.895625,1,1,1,1,1
14.017,0.8760625,1,1,1,1,1
13.684,0.85525,1,1,1,1,1
13.346,0.834125,1,1,1,1,1
12.89,0.805625,1,1,1,1,1
12.612,0.78825,1,1,1,1,1
12.589,0.7868125,1,1,1,1,1
12.652,0.79075,1,1,1,1,1
12.683,0.7926875,1,1,1,1,1
12.684,0.79275,1,1,1,1,1
12.648,0.7905,1,1,1,1,1
12.512,0.782,1,1,1,1,1
12.345,0.7715625,1,1,1,1,1
12.126,0.757875,1,1,1,1,1
11.915,0.7446875,1,1,1,1,1
11.97,0.748125,1,1,1,1,1
12.21,0.763125,1,1,1,1,1
12.44,0.7775,1,1,1,1,1
12.563,0.7851875,1,1,1,1,1
12.595,0.7871875,1,1,1,1,1
12.462,0.778875,1,1,1,1,1
12.145,0.7590625,1,1,1,1,1
11.828,0.73925,1,1,1,1,1
11.519,0.7199375,1,1,1,1,1
11.361,0.7100625,1,1,1,1,1
11.309,0.7068125,1,1,1,1,1
11.283,0.7051875,1,1,1,1,1
11.346,0.709125,1,1,1,1,1
11.656,0.7285,1,1,1,1,1
12.407,0.7754375,1,1,1,1,1
13.078,0.817375,1,1,1,1,1
13.506,0.844125,1,1,1,1,1
13.675,0.8546875,1,1,1,1,1
12.73,0.795625,1,1,1,1,1
10.694,0.668375,1,1,1,1,1
9.963,0.6226875,1,1,1,1,1
9.427,0.5891875,1,1,1,1,1
8.893,0.5558125,1,1,1,1,1
8.796,0.54975,1,1,1,1,1
8.951,0.5594375,1,1,1,1,1
9.295,0.5809375,1,1,1,1,1
9.692,0.60575,1,1,1,1,1
10.132,0.63325,1,1,1,1,1
10.404,0.65025,1,1,1,1,1
10.064,0.629,1,1,1,1,1
9.554,0.597125,1,1,1,1,1
9.065,0.5665625,1,1,1,1,1
8.431,0.5269375,1,1,1,1,1
8.021,0.5013125,1,1,1,1,1
7.826,0.489125,1,1,1,1,1
7.675,0.4796875,1,1,1,1,1
7.784,0.4865,1,1,1,1,1
7.974,0.498375,1,1,1,1,1
8.254,0.515875,1,1,1,1,1
8.597,0.5373125,1,1,1,1,1
8.984,0.5615,1,1,1,1,1
9.255,0.5784375,1,1,1,1,1
9.454,0.590875,1,1,1,1,1
