STATION,STATION_NAME,DATE,HPCP
COOP:303851,HIGHMARKET NY US,20130222 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130224 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130224 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130225 10:00,5.08
COOP:303851,HIGHMARKET NY US,20130227 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130227 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130227 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130227 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130227 10:00,2.54
COOP:303851,HIGHMARKET NY US,20130227 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130227 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130228 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130228 11:00,5.08
COOP:303851,HIGHMARKET NY US,20130301 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130311 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130312 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130312 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130312 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130312 05:00,5.08
COOP:303851,HIGHMARKET NY US,20130312 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130312 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130312 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130313 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130314 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130315 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130315 16:00,2.54
COOP:303851,HIGHMARKET NY US,20130318 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130319 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130319 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130319 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130319 16:00,2.54
COOP:303851,HIGHMARKET NY US,20130320 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130320 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130320 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130401 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130401 07:00,2.54
COOP:303851,HIGHMARKET NY US,20130402 01:00,25399.75
COOP:303851,HIGHMARKET NY US,20130404 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130406 01:00,25399.75
COOP:303851,HIGHMARKET NY US,20130407 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130408 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130409 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130409 23:00,5.08
COOP:303851,HIGHMARKET NY US,20130410 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130410 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130410 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130410 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130411 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130412 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130412 09:00,2.54
COOP:303851,HIGHMARKET NY US,20130412 10:00,5.08
COOP:303851,HIGHMARKET NY US,20130412 11:00,5.08
COOP:303851,HIGHMARKET NY US,20130412 12:00,2.54
COOP:303851,HIGHMARKET NY US,20130412 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130412 16:00,2.54
COOP:303851,HIGHMARKET NY US,20130412 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130413 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130414 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130416 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130416 12:00,2.54
COOP:303851,HIGHMARKET NY US,20130416 16:00,2.54
COOP:303851,HIGHMARKET NY US,20130416 18:00,5.08
COOP:303851,HIGHMARKET NY US,20130416 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130419 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130419 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130419 19:00,10.16
COOP:303851,HIGHMARKET NY US,20130419 20:00,5.08
COOP:303851,HIGHMARKET NY US,20130424 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130424 19:00,5.08
COOP:303851,HIGHMARKET NY US,20130424 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130429 07:00,25399.75
COOP:303851,HIGHMARKET NY US,20130430 23:00,25399.75
COOP:303851,HIGHMARKET NY US,20130501 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130508 16:00,2.54
COOP:303851,HIGHMARKET NY US,20130509 15:00,5.08
COOP:303851,HIGHMARKET NY US,20130509 16:00,2.54
COOP:303851,HIGHMARKET NY US,20130510 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130510 23:00,2.54
